2026-06-30 10:44:16,427 | INFO | candidate_transformer | Health check called
2026-06-30 10:44:41,308 | INFO | candidate_transformer | Health check called
2026-06-30 10:45:12,904 | INFO | candidate_transformer | Health check called
2026-06-30 10:46:02,884 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Incoming transformation request
2026-06-30 10:46:02,893 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Saving recruiter CSV...
2026-06-30 10:46:02,896 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Saving resume PDF...
2026-06-30 10:46:02,902 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Executing transformation pipeline...
2026-06-30 10:46:03,557 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Pipeline completed successfully in 0.674s
2026-06-30 10:46:03,561 | INFO | candidate_transformer | [cd44e6e3-1d34-408b-8f7b-48a484e327d4] Temporary files cleaned
2026-06-30 11:33:31,196 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Incoming transformation request
2026-06-30 11:33:31,198 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Saving recruiter CSV...
2026-06-30 11:33:31,200 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Saving resume PDF...
2026-06-30 11:33:31,201 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Executing transformation pipeline...
2026-06-30 11:33:31,531 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Pipeline completed successfully in 0.335s
2026-06-30 11:33:31,533 | INFO | candidate_transformer | [6520c868-64c0-4451-80c3-8eb9143dc361] Temporary files cleaned
2026-06-30 12:01:24,699 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Incoming transformation request
2026-06-30 12:01:24,702 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Saving recruiter CSV...
2026-06-30 12:01:24,704 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Saving resume PDF...
2026-06-30 12:01:24,708 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Executing transformation pipeline...
2026-06-30 12:01:25,049 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Pipeline completed successfully in 0.35s
2026-06-30 12:01:25,052 | INFO | candidate_transformer | [561d46ab-68ee-40d0-a4a7-51204698304f] Temporary files cleaned
2026-06-30 12:13:54,072 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:13:54,072 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:13:54,078 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:13:54,110 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:13:54,112 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:13:54,112 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:13:54,114 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:13:54,116 | INFO | candidate_transformer | Parsing LinkedIn URL: 
2026-06-30 12:13:54,116 | WARNING | candidate_transformer | Could not extract LinkedIn username from: 
2026-06-30 12:13:54,117 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/test-user
2026-06-30 12:13:54,119 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,119 | INFO | candidate_transformer | ATS JSON parsed: Sanjay Sarvesh (2 skills, 1 experience entries, 1 education entries)
2026-06-30 12:13:54,120 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,121 | INFO | candidate_transformer | ATS JSON parsed: Jane Doe (2 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,122 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,137 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,139 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,139 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,140 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,141 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,142 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,143 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,144 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,144 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,145 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,145 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,146 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,147 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,148 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:13:54,148 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:13:54,149 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmptg77_guf.txt
2026-06-30 12:13:54,160 | INFO | candidate_transformer | TXT file parsed: John Doe (3 skills, 0 experience entries)
2026-06-30 12:13:54,162 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp1_m8y7y9.txt
2026-06-30 12:13:54,163 | WARNING | candidate_transformer | TXT file is empty, returning empty candidate
2026-06-30 12:13:54,165 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp0q16p0kg.txt
2026-06-30 12:13:54,177 | INFO | candidate_transformer | TXT file parsed: Jane Doe (0 skills, 0 experience entries)
2026-06-30 12:13:54,179 | INFO | candidate_transformer | Parsing TXT file: /nonexistent/path.txt
2026-06-30 12:14:06,756 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,757 | INFO | candidate_transformer | ATS JSON parsed: Sanjay Sarvesh (2 skills, 1 experience entries, 1 education entries)
2026-06-30 12:14:06,759 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,759 | INFO | candidate_transformer | ATS JSON parsed: Jane Doe (2 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,761 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,763 | INFO | candidate_transformer | ATS JSON parsed: File Candidate (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,764 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,764 | INFO | candidate_transformer | ATS JSON parsed: John Doe (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,766 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,766 | INFO | candidate_transformer | ATS JSON parsed: Single Name Field (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,767 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,767 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,768 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,768 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,769 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,769 | INFO | candidate_transformer | ATS JSON parsed: None (3 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,771 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,771 | INFO | candidate_transformer | ATS JSON parsed: None (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,772 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:14:06,772 | INFO | candidate_transformer | ATS JSON parsed: Applicant Wrapper (0 skills, 0 experience entries, 0 education entries)
2026-06-30 12:14:06,805 | INFO | candidate_transformer | Fetching GitHub profile for: torvalds
2026-06-30 12:14:06,805 | INFO | candidate_transformer | GitHub profile parsed: Linus Torvalds (3 skills, 1 projects)
2026-06-30 12:14:06,812 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/john-doe-12345
2026-06-30 12:14:06,817 | INFO | candidate_transformer | Parsing LinkedIn URL: linkedin.com/in/sanjay-sarvesh
2026-06-30 12:14:06,820 | INFO | candidate_transformer | Parsing LinkedIn URL: https://example.com/not-linkedin
2026-06-30 12:14:06,820 | WARNING | candidate_transformer | Could not extract LinkedIn username from: https://example.com/not-linkedin
2026-06-30 12:14:06,821 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/dev-engineer
2026-06-30 12:14:06,824 | INFO | candidate_transformer | Parsing LinkedIn URL: 
2026-06-30 12:14:06,824 | WARNING | candidate_transformer | Could not extract LinkedIn username from: 
2026-06-30 12:14:06,825 | INFO | candidate_transformer | Parsing LinkedIn URL: https://www.linkedin.com/in/test-user
2026-06-30 12:14:06,832 | INFO | candidate_transformer | Parsing Recruiter CSV...
2026-06-30 12:14:06,832 | INFO | candidate_transformer | Parsing Resume PDF...
2026-06-30 12:14:06,840 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpiy0hy95n.txt
2026-06-30 12:14:06,843 | INFO | candidate_transformer | TXT file parsed: John Doe (3 skills, 0 experience entries)
2026-06-30 12:14:06,845 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmp6efo8uy7.txt
2026-06-30 12:14:06,845 | WARNING | candidate_transformer | TXT file is empty, returning empty candidate
2026-06-30 12:14:06,847 | INFO | candidate_transformer | Parsing TXT file: C:\Users\hp\AppData\Local\Temp\tmpqmpy7rwl.txt
2026-06-30 12:14:06,849 | INFO | candidate_transformer | TXT file parsed: Jane Doe (0 skills, 0 experience entries)
2026-06-30 12:14:06,851 | INFO | candidate_transformer | Parsing TXT file: /nonexistent/path.txt
2026-06-30 12:16:52,713 | INFO | candidate_transformer | Parsing ATS JSON blob...
2026-06-30 12:16:52,714 | INFO | candidate_transformer | ATS JSON parsed: Sanjay Sarvesh (2 skills, 1 experience entries, 1 education entries)
2026-06-30 12:16:52,715 | INFO | candidate_transformer | Parsing ATS JSON blob...
